id,region,land,group,vote_type,count_type,votes,land_str
4,Rendsburg-Eckernförde,1,alternativefuerdeutschland,zweitstimmen,endgueltig,11578,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,alternativefuerdeutschland,zweitstimmen,vorperiode,6500,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,piratenparteideutschland,erststimmen,vorperiode,2756,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,piratenparteideutschland,zweitstimmen,vorperiode,2620,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,nationaldemokratischeparteideutschlands,erststimmen,vorperiode,866,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,nationaldemokratischeparteideutschlands,zweitstimmen,endgueltig,307,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,nationaldemokratischeparteideutschlands,zweitstimmen,vorperiode,854,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiewähler,erststimmen,endgueltig,1622,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiewähler,zweitstimmen,endgueltig,1031,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,freiewähler,zweitstimmen,vorperiode,716,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,parteimenschumwelttierschutz,zweitstimmen,vorperiode,1290,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,ökologisch.demokratischepartei,zweitstimmen,endgueltig,237,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,parteifuerarbeit.rechtsstaat.tierschutz.elitenfoerderungundbasisdemokratischeinitiative,zweitstimmen,endgueltig,1754,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,endgueltig,55,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,marxistisch.leninistischeparteideutschlands,zweitstimmen,vorperiode,32,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,buendnisgrundeinkommen,zweitstimmen,endgueltig,584,Schleswig-Holstein
4,Rendsburg-Eckernförde,1,übrige,zweitstimmen,vorperiode,668,Schleswig-Holstein
5,Kiel,1,wahlberechtigte,erststimmen,endgueltig,204650,Schleswig-Holstein
5,Kiel,1,wahlberechtigte,erststimmen,vorperiode,205243,Schleswig-Holstein
5,Kiel,1,wahlberechtigte,zweitstimmen,endgueltig,204650,Schleswig-Holstein
5,Kiel,1,wahlberechtigte,zweitstimmen,vorperiode,205243,Schleswig-Holstein
5,Kiel,1,waehler,erststimmen,endgueltig,153273,Schleswig-Holstein
5,Kiel,1,waehler,erststimmen,vorperiode,146452,Schleswig-Holstein
5,Kiel,1,waehler,zweitstimmen,endgueltig,153273,Schleswig-Holstein
5,Kiel,1,waehler,zweitstimmen,vorperiode,146452,Schleswig-Holstein
5,Kiel,1,ungueltige,erststimmen,endgueltig,1594,Schleswig-Holstein
5,Kiel,1,ungueltige,erststimmen,vorperiode,1674,Schleswig-Holstein
5,Kiel,1,ungueltige,zweitstimmen,endgueltig,1204,Schleswig-Holstein
5,Kiel,1,ungueltige,zweitstimmen,vorperiode,1483,Schleswig-Holstein
5,Kiel,1,gueltige,erststimmen,endgueltig,151679,Schleswig-Holstein
5,Kiel,1,gueltige,erststimmen,vorperiode,144778,Schleswig-Holstein
5,Kiel,1,gueltige,zweitstimmen,endgueltig,152069,Schleswig-Holstein
5,Kiel,1,gueltige,zweitstimmen,vorperiode,144969,Schleswig-Holstein
5,Kiel,1,christlichdemokratischeuniondeutschlands,erststimmen,endgueltig,46560,Schleswig-Holstein
5,Kiel,1,christlichdemokratischeuniondeutschlands,erststimmen,vorperiode,47925,Schleswig-Holstein
5,Kiel,1,christlichdemokratischeuniondeutschlands,zweitstimmen,endgueltig,40736,Schleswig-Holstein
5,Kiel,1,christlichdemokratischeuniondeutschlands,zweitstimmen,vorperiode,43893,Schleswig-Holstein
5,Kiel,1,sozialdemokratischeparteideutschlands,erststimmen,endgueltig,46991,Schleswig-Holstein
5,Kiel,1,sozialdemokratischeparteideutschlands,erststimmen,vorperiode,62271,Schleswig-Holstein
5,Kiel,1,sozialdemokratischeparteideutschlands,zweitstimmen,endgueltig,36208,Schleswig-Holstein
